wiki	name	iso	googletranslate	bing_BCP_47	m2m_100	mbart_50	opus_mt
af	Afrikaans	afr	af	af	af	af	af
sq	Albanian	sqi	sq	sq	sq		sq
ar	Arabic	ara,arb	ar	ar	ar	ar	ar
an	Aragonese	arg					
hy	Armenian	hye	hy	hy	hy		hy
ast	Asturian	ast			ast		
az	Azerbaijani	aze	az	az	az	az	az
ba	Bashkir	bak			ba		
eu	Basque	eus	eu				eu
bar	Bavarian	bar					
be	Belarusian	bel	be		be		be
bn	Bengali	ben	bn	bn	bn	bn	bn
bpy	Bishnupriya Manipuri	bpy					
bs	Bosnian	bos	bs	bs	bs		
br	Breton	bre			br		
bg	Bulgarian	bul	bg	bg	bg		bg
my	Burmese	mya		my	my	my	
ca	Catalan	cat	ca	ca	ca		ca
ceb	Cebuano	ceb	ceb		ceb		ceb
ce	Chechen	che					
zh-hans	Chinese (Simplified)	zho	zh-CN	zh-Hans	zh	zh	zh
zh-hant	Chinese (Traditional)	lzh	zh-TW	zh-Hant			
cv	Chuvash	chv					
hr	Croatian	hrv	hr	hr	hr	hr	hr
cs	Czech	ces	cs	cs	cs	cs	cs
da	Danish	dan	da	da	da		da
nl	Dutch	nld	nl	nl	nl	nl	nl
en	English	eng	en	en	en	en	en
et	Estonian	est	et	et	et	et	et
fi	Finnish	fin	fi	fi	fi	fi	fi
fr	French	fra	fr	fr	fr	fr	fr
gl	Galician	glg	gl		gl	gl	gl
ka	Georgian	kat	ka		ka	ka	ka
de	German	deu	de	de	de	de	de
el	Greek	ell	el	el	el		el
gu	Gujarati	guj	gu	gu	gu	gu	
ht	Haitian	hat	ht	ht	ht		ht
he	Hebrew	heb	he	he	he	he	he
hi	Hindi	hin	hi	hi	hi	hi	hi
hu	Hungarian	hun	hu	hu	hu		hu
is	Icelandic	isl	is	is	is		is
io	Ido	ido					
id	Indonesian	ind	id	id	id	id	id
ga	Irish	gle	ga	ga	ga		ga
it	Italian	ita	it	it	it	it	it
ja	Japanese	jpn	ja	ja	ja	ja	ja
jv	Javanese	jav	jv		jv		
kn	Kannada	kan	kn	kn	kn		
kk	Kazakh	kaz	kk	kk	kk	kk	
ky	Kirghiz	kir					
ko	Korean	kor	ko	ko	ko	ko	ko
la	Latin	lat	la				
lv	Latvian	lav	lv	lv	lv	lv	lv
lt	Lithuanian	lit	lt	lt	lt	lt	lt
lmo	Lombard	lmo					
nds	Low Saxon	nds					
lb	Luxembourgish	ltz	lb		lb		
mk	Macedonian	mkd	mk		mk	mk	mk
mg	Malagasy	mlg,plt	mg	mg	mg		mg
ms	Malay	msa	ms	ms	ms		ms
ml	Malayalam	mal	ml	ml	ml	ml	ml
mr	Marathi	mar	mr	mr	mr	mr	mr
min	Minangkabau	min					
ne	Nepali	nep	ne	ne	ne	ne	
new	Newar	new					
no	Norwegian (Bokmal)	nob	no		no		no
nn	Norwegian (Nynorsk)	nno					
oc	Occitan	oci			oc		
fa	Persian (Farsi)	fas,pes	fa	fa	fa	fa	
pms	Piedmontese	pms					
pl	Polish	pol	pl	pl	pl	pl	pl
pt	Portuguese	por	pt	pt	pt	pt	pt
pa	Punjabi	pan	pa	pa	pa		pa
ro	Romanian	ron	ro	ro	ro	ro	ro
ru	Russian	rus	ru	ru	ru	ru	ru
sco	Scots	sco					
sr	Serbian	srp	sr		sr		
sh	Serbo-Croatian	hbs,srp,hrv					sh
scn	Sicilian	scn					
sk	Slovak	slk	sk	sk	sk		sk
sl	Slovenian	slv	sl	sl	sl	sl	sl
azb	South Azerbaijani	azb					
es	Spanish	spa	es	es	es	es	es
su	Sundanese	sun	su		su		
sw	Swahili	swh	sw	sw	sw	sw	sw
sv	Swedish	swe	sv	sv	sv	sv	sv
tl	Tagalog	tgl	tl		tl	tl	tl
tg	Tajik	tgk	tg				
ta	Tamil	tam	ta	ta	ta	ta	
tt	Tatar	tat	tt				
te	Telugu	tel	te	te		te	
tr	Turkish	tur	tr	tr	tr	tr	tr
uk	Ukrainian	ukr	uk	uk	uk	uk	uk
ur	Urdu	urd	ur	ur	ur	ur	ur
uz	Uzbek	uzb	uz		uz		
vi	Vietnamese	vie	vi	vi	vi	vi	vi
vo	Volapük	vol					
war	Waray-Waray	war					war
cy	Welsh	cym	cy	cy	cy		cy
fy	West Frisian	fry	fy		fy		
pnb	Western Punjabi	pnb,pan					
yo	Yoruba	yor	yo		yo		yo
th	Thai	tha	th	th	th	th	th
mn	Mongolian	mon,khk			mn	mn	
